MEUS PROGRESSOS: HABILIDADES ESSENCIAIS PARA CRIANÇAS COM TRANSTORNO DO ESPECTRO AUTISTA (TEA),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
APRENDIZ:,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVALIADOR:,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLICAÇÃO 1:,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLICAÇÃO 2:,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLICAÇÃO 3:,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÁREAS,,1/0/00,,1/0/00,,1/0/00,,,,,,,,,,,,,,,,,,,,,
HABILIDADES COMUNICATIVAS ,,0,0%,0,0%,0,0%,,,,,,,,,,,,,,,,,,,,
HABILIDADES SOCIAIS ,,0,0%,0,0%,0,0%,,,,,,,,,,,,,,,,,,,,
HABILIDADES MOTORAS ,,0,0%,0,0%,0,0%,,,,,,,,,,,,,,,,,,,,
HABILIDADES FUNCIONAIS ,,0,0%,0,0%,0,0%,,,,,,,,,,,,,,,,,,,,
HABILIDADES COGNITIVAS ,,0,0%,0,0%,0,0%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
HABILIDADES COMUNICATIVAS ,,,,,,,,HABILIDADES SOCIAIS ,,,,,HABILIDADES MOTORAS ,,,,,HABILIDADES FUNCIONAIS ,,,,,HABILIDADES COGNITIVAS ,,,,
#,TAREFA,PONTUAÇÃO,,,,,,#,TAREFA,PONTUAÇÃO,,,#,TAREFA,PONTUAÇÃO,,,#,TAREFA,PONTUAÇÃO,,,#,TAREFA,PONTUAÇÃO,,
,,1/0/00,,1/0/00,,1/0/00,,,,1/0/00,1/0/00,1/0/00,,,1/0/00,1/0/00,1/0/00,,,1/0/00,1/0/00,1/0/00,,,1/0/00,1/0/00,1/0/00
CONTATO VISUAL ,,,,,,,,RESPOSTA EMOCIONAL,,,,,MOTOR GLOBAL,,,,,HIGIENE PESSOAL ,,,,,ATENÇÃO CONJUNTA ,,,,
1,A criança olha na direção de um adulto quando chamada pelo nome,,,,,,,1,"Identifica emoções básicas diante de figuras (alegria, medo, raiva e tristeza)",,,,1,Senta no chão sem o apoio das mãos,,,,1,"Escova os dentes, mesmo que com ajuda física",,,,1,Olha para um objeto apresentado a 30 centímetros de distância,,,
2,"Quando chamada pelo nome, vira o rosto para outra pessoa por pelo menos 1 segundo",,,,,,,2,"Nomeia emoções básicas diante de figuras (alegria, medo, raiva e tristeza)",,,,2,"Diante de uma cadeira tamanho adulto, puxa-a (ou sobe) e senta",,,,2,"Lava as mãos (somente com água) antes das refeições, com independência",,,,2,Segue um ponto em deslocamento (ou objeto em movimento) a 30 centímetros de distância,,,
3,"Durante uma interação, vira o rosto em direção a outra pessoa por aproximadamente 3 segundos",,,,,,,3,Identifica emoções que uma outra pessoa está demonstrando,,,,3,Sobe escadas sem ajuda física de um adulto,,,,3,"Usa sabonete de forma apropriada para lavar as mãos, sem necessidade de ajuda",,,,3,Mantém pelo menos alguns segundos de atenção nas brincadeiras propostas,,,
4,Olha em direção a outra pessoa que está com itens reforçadores à mostra,,,,,,,4,Imita emoções que outra pessoa está demonstrando,,,,4,"Pega objetos no chão, inclinando o corpo sem se desequilibrar",,,,4,"Escova os dentes, ainda necessitando de instruções e modelo",,,,4,Demonstra interesse por um brinquedo/objeto em posse de outra pessoa,,,
5,Olha na direção de um par quando engajada em alguma brincadeira,,,,,,,5,"Nomeia suas próprias emoções (alegria, medo, raiva e tristeza)",,,,5,Desce escadas sem ajuda,,,,5,Penteia os cabelos com independência,,,,5,"Quando um par abandona a atividade/brincadeira, a criança convida-o para retornar, incluindo-o novamente",,,
6,Olha na direção de outra pessoa à distância de 3 metros,,,,,,,6,"Determina a causa de emoções, diante cenas de desenhos animados",,,,6,Pula com os dois pés juntos (no mesmo local),,,,6,"Seca-se, após o banho, com independência",,,,6,Segue instruções simples durante brincadeiras,,,
7,Olha na direção de outra pessoa à distância de 5 metros,,,,,,,7,"Identifica a causa das suas emoções, após episódios que eliciaram essas respostas",,,,7,Impulsiona-se em um balanço com independência,,,,7,"Escova os dentes ao menos 3 vezes ao dia, sem necessidade de ajuda",,,,7,"Aguarda a resposta do falante, durante pelo menos 30 segundos, sem se dispersar",,,
8,"Olha na direção de um par, que está à distância de 5 metros, enquanto engajada em alguma brincadeira",,,,,,,8,Consegue reconhecer dez diferentes emoções e associar as situações do cotidiano,,,,8,Pula de uma altura de 20 centímetros,,,,8,"Realiza higiene íntima durante o banho, com independência",,,,8,"Mostra ao par algo que viu, aconteceu ou fez",,,
9,Olha na direção de mais de uma pessoa (duas pessoas chamam a criança alternadamente),,,,,,,9,"Diferencia a intensidade das emoções em: baixa, média e alta, a partir de exemplos da sua própria história de vida",,,,9,Dá cambalhota para frente,,,,9,"Lava todas as partes do corpo durante o banho, com independência",,,,9,Junta-se à outra pessoa por iniciativa própria,,,
10,"Olha na direção de mais de uma pessoa alternadamente, quando engajada em alguma brincadeira",,,,,,,10,Apresenta resposta emocional e conduta esperada em intensidade adequada à situação,,,,10,"Equilibra-se em um pé só, por 6 segundos",,,,10,"Toma banho sozinha, incluindo abrir/fechar o chuveiro, despir-se, passar sabão e xampu, enxaguar-se, secar-se e vestir suas roupas",,,,10,"Permanece engajada, sob instruções dadas a um grupo, durante 10 minutos",,,
COMUNICAÇÃO ALTERNATIVA ,,,,,,,,IMITAÇÃO,,,,,MOTOR FINO ,,,,,VESTUÁRIO,,,,,COMPORTAMENTO EXPLORATÓRIO ,,,,
1,Estende a mão para pegar o que deseja,,,,,,,1,"Apresenta comportamento imitativo de movimentos motores (levantar, sentar, bater as mãos), mesmo que necessite de ajuda física e verbal",,,,1,Coloca objetos pequenos dentro de um recipiente,,,,1,Retira a calça sozinha,,,,1,Deixa cair e apanha um objeto,,,
2,"Aponta para o que deseja, tocando o dedo no objeto",,,,,,,2,"Consegue imitar comportamentos simples com o uso de objetos, mesmo que com estímulo e assistência",,,,2,Forma uma bola com uma massa de modelar,,,,2,Retira a camisa sem necessidade de ajuda,,,,2,Descobre um objeto escondido sob um recipiente,,,
3,Aponta a uma distância de aproximadamente 30 centímetros,,,,,,,3,Imita movimentos fonoarticulatórios,,,,3,Usa preensão de pinça para pegar objetos,,,,3,"Ajuda a colocar a calça, levantando os pés e puxando a roupa",,,,3,Vira as páginas de um livro para encontrar uma imagem nomeada,,,
4,Aponta espontaneamente para mostrar algo ou fazer pedidos,,,,,,,4,"Imita comportamentos de coordenação motora grossa (pular, dançar, correr), sem ajuda",,,,4,Bate palmas,,,,4,"Ajuda a colocar a camisa, esticando os braços e puxando a roupa",,,,4,Nota e solicita por um item que está faltando para prosseguir em um jogo ou brincadeira (por exemplo: o pirata do pula-pirata ou uma peça para encaixar),,,
5,"Faz gestos para se comunicar (aponta, ""sim"", ""não"", ""tchau"", senta, bebe)",,,,,,,5,"Imita comportamentos simples (bater palmas e emitir sons isolados), sem necessidade de ajuda",,,,5,Coloca 3 aros em uma pequena estaca,,,,5,Coloca o sapato com independência,,,,5,Abre recipientes fechados para ver o que há dentro (pode ser um presente),,,
6,Consegue utilizar figuras/fotos para fazer pedidos,,,,,,,6,Consegue imitar 3 tarefas simples em sequência,,,,6,Vira trincos e maçanetas para abrir portas,,,,6,Coloca a meia com independência,,,,6,Brinca com uma caixa de areia por no mínimo 3 minutos,,,
7,"Utiliza comunicação por figuras, selecionando corretamente a figura correspondente ao pedido (discriminação)",,,,,,,7,Aprende comportamentos básicos de autocuidado por observação (lavar as mãos e escovar os dentes),,,,7,"Dobra um papel ao meio, mesmo que imitando um adulto",,,,7,Abotoa e desabotoa a camisa sem necessidade de ajuda,,,,7,"Engaja-se em brincadeiras com tinta, usando os pés e as mãos",,,
8,"Seleciona uma figura correta e a entrega para um adulto, que está a 5 metros de distância, para realizar um pedido",,,,,,,8,Aprende brincadeiras e esportes iniciais adequadamente (jogar bola na cesta),,,,8,Abre garrafas com tampa de rosca,,,,8,Amarra o cadarço sem necessidade de ajuda,,,,8,Explora massinha de modelar por no mínimo 3 minutos,,,
9,"Expressa verbos por meio das figuras (""quero"", ""posso"", ""está doendo"")",,,,,,,9,"Imita comportamentos complexos de outra pessoa, relacionados a afazeres do dia a dia (dobrar e guardar a roupa no armário)",,,,9,Consegue colocar 5 pregadores em um cordão,,,,9,"Veste a parte inferior (calça, bermuda, saia) sozinha",,,,9,Repete um movimento com um brinquedo de ação e reação ,,,
10,"Expressa sentimentos por meio das figuras (""sinto-me triste/alegre"")",,,,,,,10,"Aprende novos comportamentos sem ser, especificamente, ensinada a fazê-los – por observação e imitação espontânea",,,,10,"Usando tesoura sem ponta, corta uma folha A4 ao meio",,,,10,"Veste a parte superior (camisa, camiseta, blusa) sem ajuda",,,,10,Constrói algo com no mínimo 3 blocos de montar,,,
LINGUAGEM EXPRESSIVA ,,,,,,,,TOLERÂNCIA ,,,,,INTERAÇÃO COM OBJETOS ,,,,,USO DE BANHEIRO ,,,,,COMBINAÇÕES ,,,,
1,Emite algum som com sentido comunicativo,,,,,,,1,Permanece sentada por pelo menos 1 minuto com reforçador,,,,1,Vira páginas de um livro,,,,1,Demonstra incômodo ao fazer xixi/cocô na roupa/fralda,,,,1,"Emparelha figuras idênticas quando apresentados 3 pares de figuras, de forma aleatória",,,
2,Emite sons direcionados quando quer alguma coisa,,,,,,,2,Permanece sentada por pelo menos 3 minutos com reforçador,,,,2,Puxa bonecos ou outro brinquedo ao andar,,,,2,Retira a roupa/fralda para fazer xixi/cocô,,,,2,"Combina objetos semelhantes quando apresentados 3 pares de objetos, de forma aleatória",,,
3,Consegue imitar sons,,,,,,,3,Permanece sentada por pelo menos 10 minutos com reforçador,,,,3,Constrói uma torre com 4 blocos de montar,,,,3,Faz xixi no troninho quando colocada por um adulto,,,,3,"Combina objetos a suas figuras correspondentes quando apresentadas 3 figuras e 3 objetos, de forma aleatória",,,
4,Emite 10 sons diferentes,,,,,,,4,Consegue aguardar pelo menos 30 segundos para receber algo que deseja,,,,4,"Utilizando um martelo de brinquedo, prega 5 pinos em seus encaixes",,,,4,Avisa ao adulto a necessidade de fazer xixi,,,,4,"Emparelha objetos com a mesma textura (feltros, pelúcias, madeiras)",,,
5,Pede por seus objetos e atividades favoritas,,,,,,,5,"Aguarda, sem resistência, por pelo menos 1 minuto por algo que está esperando que aconteça",,,,5,Monta um quebra-cabeça de 3 peças,,,,5,Não faz xixi na cama,,,,5,Emparelha 3 cores,,,
6,Nomeia pessoas familiares,,,,,,,6,"Aguarda sentada por pelo menos 3 minutos sem resistência, sem uso de reforçador",,,,6,Pedala um triciclo por no mínimo 3 metros,,,,6,Faz cocô no troninho quando colocada por um adulto,,,,6,Emparelha formas geométricas a suas respectivas figuras,,,
7,Nomeia figuras,,,,,,,7,Realiza as refeições sentada,,,,7,"Utilizando um lápis, traça os pontilhados do desenho na folha",,,,7,Avisa ao adulto sobre a necessidade de fazer cocô,,,,7,Combina objetos que se relacionam entre si,,,
8,Nomeia objetos,,,,,,,8,"Consegue aguardar a sua vez na fila por pelo menos 5 minutos, sem comportamentos-problema",,,,8,Une três pedaços de massa de modelar,,,,8,Tem a iniciativa de ir ao banheiro para fazer xixi e o realiza sozinha,,,,8,Combina itens por categorias,,,
9,Completa trechos de músicas conhecidas,,,,,,,9,"Consegue participar efetivamente de brincadeira em grupo, aguardando sua vez",,,,9,Pedala um triciclo fazendo curvas,,,,9,Tem a iniciativa de ir ao banheiro para fazer cocô e o realiza sozinha,,,,9,Combina palavras escritas a suas imagens correspondentes,,,
10,Faz perguntas e se envolve em conversas simples,,,,,,,10,Lida bem com derrotas e com o término das atividades prazerosas,,,,10,Fecha garrafas com tampa de rosca,,,,10,Faz xixi e cocô sozinha e depois realiza a higiene pessoal,,,,10,Identifica palavras simples escritas e ditadas por um adulto (discriminação auditiva),,,
